name,BM2,BM3
IGHD3-10,97,48
IGHD3-3,77,144
IGHD3-22,108,93
IGHD2-2,144,181
IGHD6-13,17,15
IGHD3-16,18,31
IGHD2-15,45,59
IGHD6-19,10,10
IGHD5-18,6,2
IGHD3-9,33,28
IGHD2-21,11,18
IGHD1-26,3,1
IGHD5-12,5,8
IGHD5-24,1,1
IGHD4-23,1,0
IGHD2-8,5,6
