name,BM2,BM3
IGKJ4,174,343
IGHJ4,721,992
IGLJ3,182,408
IGKJ2,197,312
IGKJ1,195,372
IGHJ6,422,641
IGHJ5,241,332
IGLJ2,269,541
IGKJ3,79,169
IGHJ3,194,339
IGLJ1,132,164
IGHJ2,23,73
IGKJ5,59,131
IGHJ1,18,34
IGLJ7,4,2
